ENSDARG00000077720	CABZ01062422.1
ENSDARG00000068026	CABZ01071153.1
ENSDARG00000015887	b2ml
ENSDARG00000007359	UBL4B
ENSDARG00000021287	zgc:91909
ENSDARG00000095922	zgc:91909
ENSDARG00000063159	si:dkey-32e23.4
ENSDARG00000085803	5S_rRNA
ENSDARG00000036999	PTCHD2
ENSDARG00000028071	bmp1a
ENSDARG00000029556	kansl3
ENSDARG00000068098	si:ch211-198o12.4
ENSDARG00000041362	chmp7
ENSDARG00000041358	lgi3
ENSDARG00000011027	fgfr1a
ENSDARG00000041350	ankrd39
ENSDARG00000021209	KCTD9 (2 of 2)
ENSDARG00000005780	npy8br
ENSDARG00000088807	klhl22
ENSDARG00000007329	tbx16
ENSDARG00000079326	si:ch211-53f16.1
ENSDARG00000094868	si:ch73-313l22.2
ENSDARG00000039229	cep78
ENSDARG00000025013	gna14a
ENSDARG00000039225	vps13a
ENSDARG00000007369	tcf7l1b
ENSDARG00000015057	ube2d4
ENSDARG00000016016	dbnlb
ENSDARG00000077120	arid5a
ENSDARG00000011208	CABZ01070469.1
ENSDARG00000016044	GINS4
ENSDARG00000015657	zgc:77112
ENSDARG00000078176	CABZ01070468.1
ENSDARG00000018030	nr6a1a
ENSDARG00000017704	nr5a1a
ENSDARG00000077310	gpr144
ENSDARG00000023520	fgf17
ENSDARG00000035423	TUBB4A (1 of 3)
ENSDARG00000089619	CU984584.1
ENSDARG00000052657	si:dkey-90l8.3
ENSDARG00000093315	cyr61l2
ENSDARG00000087089	FKBP15 (4 of 4)
ENSDARG00000086906	stambpb
ENSDARG00000041346	si:ch1073-392o20.2
ENSDARG00000063483	RNF122
ENSDARG00000025237	CABZ01074899.1
ENSDARG00000090454	gnb1a
ENSDARG00000075917	C8H1orf222
ENSDARG00000059763	gabrd
ENSDARG00000003181	sult1st4
ENSDARG00000078215	zfyve20
ENSDARG00000041306	mrps25
ENSDARG00000042477	nr2c2
ENSDARG00000076218	b3galt4
ENSDARG00000075620	FP017194.1
ENSDARG00000095879	wdr46
ENSDARG00000006577	nadka
ENSDARG00000096224	nr6a1a
ENSDARG00000081534	mir181b-2
ENSDARG00000080758	dre-mir-181a-2
ENSDARG00000045202	selk
ENSDARG00000067944	actr8
ENSDARG00000075162	CHDH
ENSDARG00000037904	ENSDARG00000037904
ENSDARG00000090746	fgd
ENSDARG00000013009	ubiad1
ENSDARG00000043079	MMP23B
ENSDARG00000070145	magi1a
ENSDARG00000002193	rho
ENSDARG00000020982	PRICKLE2 (2 of 2)
ENSDARG00000088062	PPHLN1 (1 of 2)
ENSDARG00000008703	apeh
ENSDARG00000079822	ENSDARG00000079822
ENSDARG00000088860	CABZ01074181.1
ENSDARG00000044490	tlr9
ENSDARG00000090308	ENSDARG00000090308
ENSDARG00000014495	wnt5a
ENSDARG00000045204	CACNA2D3
ENSDARG00000045205	LRTM1
ENSDARG00000006990	CABZ01112331.1
ENSDARG00000006868	trh
ENSDARG00000076747	TMCC1 (2 of 2)
ENSDARG00000086057	PLXND1
ENSDARG00000087726	APEH (3 of 3)
ENSDARG00000090144	CABZ01074070.1
ENSDARG00000093701	HDAC7 (1 of 2)
ENSDARG00000019646	twist3
ENSDARG00000059355	CABZ01074081.1
ENSDARG00000087856	CABZ01074081.2
ENSDARG00000061067	TMEM106C (2 of 2)
ENSDARG00000090564	PDZD4 (1 of 2)
ENSDARG00000062396	anks1aa
ENSDARG00000037855	taf11
ENSDARG00000077011	uhrf1bp1
ENSDARG00000081007	CU469313.1
ENSDARG00000013726	ap4b1
ENSDARG00000037852	zgc:101663
ENSDARG00000013749	zgc:92113
ENSDARG00000085848	5S_rRNA
ENSDARG00000059202	TSPAN2 (1 of 2)
ENSDARG00000083802	5S_rRNA
ENSDARG00000057907	DIDO1 (2 of 2)
ENSDARG00000037846	hm13
ENSDARG00000037845	col9a3
ENSDARG00000071288	samhd1
ENSDARG00000063574	gtpbp5
ENSDARG00000025386	lsm14b
ENSDARG00000089148	BX323461.1
ENSDARG00000077371	kcnk15
ENSDARG00000037837	ogfr
ENSDARG00000015025	nadl1.1
ENSDARG00000027658	irf10
ENSDARG00000088261	CABZ01052953.2
ENSDARG00000087460	CABZ01052953.1
ENSDARG00000037833	mitfb
ENSDARG00000015429	rhoac
ENSDARG00000076496	FRMD4B (1 of 2)
ENSDARG00000077400	RBM10
ENSDARG00000087641	si:ch73-96b22.1
ENSDARG00000078404	CDH26
ENSDARG00000093496	si:zfos-905g2.1
ENSDARG00000058978	BEND2
ENSDARG00000093367	si:ch1073-272j17.3
ENSDARG00000036864	slc34a2b
ENSDARG00000089049	CABZ01079870.1
ENSDARG00000068086	PSMB11 (2 of 2)
ENSDARG00000089102	CABZ01079873.2
ENSDARG00000085406	5S_rRNA
ENSDARG00000095916	utrn
ENSDARG00000090078	UTRN
ENSDARG00000059044	epm2a
ENSDARG00000086211	CU633902.1
ENSDARG00000019311	fbxo30b
ENSDARG00000075676	FNDC7 (6 of 7)
ENSDARG00000087524	FNDC7 (2 of 7)
ENSDARG00000091008	FNDC7 (7 of 7)
ENSDARG00000008142	stxbp3
ENSDARG00000061024	rabggta
ENSDARG00000017799	tgm1
ENSDARG00000006288	prdm5
ENSDARG00000062936	NDNF
ENSDARG00000052604	CPEB2
ENSDARG00000088296	5S_rRNA
ENSDARG00000087513	CABZ01048675.1
ENSDARG00000074949	CABZ01048675.1
ENSDARG00000090971	cc2d2a
ENSDARG00000063484	PLEKHG1
ENSDARG00000017891	tcp1
ENSDARG00000059081	PRSS35 (2 of 2)
ENSDARG00000090569	CABZ01057951.1
ENSDARG00000046019	snai1b
ENSDARG00000089986	TP53INP2
ENSDARG00000091848	CABZ01057940.1
ENSDARG00000078231	CABZ01057928.1
ENSDARG00000091528	GGT7
ENSDARG00000071272	ncoa6
ENSDARG00000044956	zgc:114123
ENSDARG00000086775	top1
ENSDARG00000038442	plcg1
ENSDARG00000019774	zhx3
ENSDARG00000074790	C23H20orf24
ENSDARG00000063419	DHX35
ENSDARG00000084142	5S_rRNA
ENSDARG00000017121	mafba
ENSDARG00000009886	rnf114
ENSDARG00000063250	spata2
ENSDARG00000091575	CR759920.3
ENSDARG00000004803	CR759920.1
ENSDARG00000037819	CR759920.2
ENSDARG00000095321	si:dkey-9l20.3
ENSDARG00000032865	pacsin1a
ENSDARG00000016256	nudt3a
ENSDARG00000090634	si:dkey-226k3.4
ENSDARG00000028335	hmga1a
ENSDARG00000078369	CR847526.1
ENSDARG00000087037	5S_rRNA
ENSDARG00000095215	si:ch1073-525h16.1
ENSDARG00000020699	slc9a8
ENSDARG00000037815	b4galt5
ENSDARG00000085270	5S_rRNA
ENSDARG00000076299	EMILIN3 (1 of 2)
ENSDARG00000092761	si:ch211-10d23.6
ENSDARG00000018658	aar2
ENSDARG00000037813	zgc:113278
ENSDARG00000016238	arl6ip5b
ENSDARG00000013729	srsf6a
ENSDARG00000095510	si:ch211-10d23.5
ENSDARG00000094801	l3mbtl1
ENSDARG00000014828	l3mbtl1a
ENSDARG00000063370	sgk2a
ENSDARG00000095241	myb
ENSDARG00000037810	zgc:112175
ENSDARG00000058873	PTPDC1 (2 of 2)
ENSDARG00000058871	FBXW12
ENSDARG00000002483	WNT7A (2 of 2)
ENSDARG00000063333	nup210
ENSDARG00000073822	IQSEC1 (2 of 2)
ENSDARG00000090638	GP9
ENSDARG00000045776	cnbpa
ENSDARG00000009875	raf1a
ENSDARG00000096415	raf1a
ENSDARG00000045945	syn2a
ENSDARG00000094332	vgll4a
ENSDARG00000045944	slc6a1a
ENSDARG00000011400	tnnc1a
ENSDARG00000041417	atp6ap1a
ENSDARG00000041421	taz
ENSDARG00000058961	ntf7
ENSDARG00000083850	5S_rRNA
ENSDARG00000063282	ENSDARG00000063282
ENSDARG00000091458	KCNA2 (1 of 2)
ENSDARG00000089434	etv7
ENSDARG00000076854	KCNA10 (1 of 2)
ENSDARG00000086554	CABZ01030033.1
ENSDARG00000069193	ETV7 (2 of 2)
ENSDARG00000063285	ube2t
ENSDARG00000079532	zgc:194242
ENSDARG00000018648	lgr6
ENSDARG00000089098	CR936540.2
ENSDARG00000078129	CR936540.1
ENSDARG00000080890	mirlet7a-5
ENSDARG00000081975	dre-let-7e
ENSDARG00000075295	TULP1 (1 of 2)
ENSDARG00000040523	smpd2
ENSDARG00000074321	tead3a
ENSDARG00000090598	pkp1a
ENSDARG00000020610	tnnt2a
ENSDARG00000022698	lad1
ENSDARG00000000474	tnni1a
ENSDARG00000074360	ftr57
ENSDARG00000037804	phlda3
ENSDARG00000006603	csrp1a
ENSDARG00000078011	NAV1
ENSDARG00000058799	mybpha
ENSDARG00000071261	BX248496.1
ENSDARG00000088811	BX248496.1
ENSDARG00000025206	syt2a
ENSDARG00000075779	NRARP
ENSDARG00000063230	bmp7b
ENSDARG00000013837	spo11
ENSDARG00000058818	rbm38
ENSDARG00000081020	5S_rRNA
ENSDARG00000013963	mipb
ENSDARG00000058676	baz2a
ENSDARG00000090952	baz2a
ENSDARG00000058831	ptges3b
ENSDARG00000089626	ptges3b
ENSDARG00000071233	P4HTM (2 of 2)
ENSDARG00000089210	FP102169.1
ENSDARG00000071235	si:ch211-117c9.5
ENSDARG00000090298	5S_rRNA
ENSDARG00000095864	ftr59
ENSDARG00000071238	ftr58
ENSDARG00000071241	trim35-39
ENSDARG00000058738	SLC26A6 (3 of 3)
ENSDARG00000090179	si:ch211-117c9.1
ENSDARG00000028448	edem2
ENSDARG00000091367	prpf6
ENSDARG00000088322	mir1-1
ENSDARG00000081687	mir133a-2
ENSDARG00000075948	slco4a1
ENSDARG00000014500	PRPF6 (1 of 2)
ENSDARG00000079785	si:dkeyp-73a2.2
ENSDARG00000017821	gata5
ENSDARG00000087032	RBBP8NL
ENSDARG00000058647	hck
ENSDARG00000002536	tm9sf4
ENSDARG00000084730	5S_rRNA
ENSDARG00000076657	plagl2
ENSDARG00000008953	pofut1
ENSDARG00000012081	kif3b
ENSDARG00000087644	PCMTD2 (1 of 2)
ENSDARG00000089464	myt1b
ENSDARG00000033393	NPBWR2 (1 of 2)
ENSDARG00000071209	oprl1
ENSDARG00000077385	rgs19
ENSDARG00000012927	tcea2
ENSDARG00000058598	sox18
ENSDARG00000026333	xkr7
ENSDARG00000063089	ccm2l
ENSDARG00000017154	cables2b
ENSDARG00000092845	si:dkey-66g10.2
ENSDARG00000025850	rps21
ENSDARG00000037781	acss2
ENSDARG00000093153	si:ch73-268e11.2
ENSDARG00000083706	dre-mir-2193
ENSDARG00000063075	soga1
ENSDARG00000094787	si:dkey-14p11.4
ENSDARG00000013830	osbpl2b
ENSDARG00000058560	adrm1
ENSDARG00000058543	lama5
ENSDARG00000085384	5S_rRNA
ENSDARG00000002659	mapre1b
ENSDARG00000011932	prkcbp1l
ENSDARG00000085646	5S_rRNA
ENSDARG00000021573	slc16a7
ENSDARG00000030262	si:ch211-220i18.4
ENSDARG00000075821	plxnb1a
ENSDARG00000058381	zgc:171775
ENSDARG00000058371	krt5
ENSDARG00000058358	krt8
ENSDARG00000018404	krt18
ENSDARG00000058332	KRT18 (3 of 3)
ENSDARG00000017439	eif4ba
ENSDARG00000076292	tenc1a
ENSDARG00000093320	si:dkey-211a8.1
ENSDARG00000004843	foxp1a
ENSDARG00000005078	eif4e3
ENSDARG00000037773	rybpa
ENSDARG00000026540	ppp4r2a
ENSDARG00000073757	pdzrn3a
ENSDARG00000013647	ENSDARG00000013647
ENSDARG00000093971	si:dkey-177g18.1
ENSDARG00000077881	chl1a
ENSDARG00000083824	5S_rRNA
ENSDARG00000062880	si:ch211-247h9.1
ENSDARG00000076364	EPB41L1
ENSDARG00000085601	5S_rRNA
ENSDARG00000086669	edn3b
ENSDARG00000084574	5S_rRNA
ENSDARG00000062806	ttll9
ENSDARG00000088505	fam217b
ENSDARG00000077513	ppp1r3da
ENSDARG00000088950	sycp2
ENSDARG00000058243	phactr3a
ENSDARG00000075842	pigt
ENSDARG00000089187	wfdc2
ENSDARG00000062770	snx21
ENSDARG00000091031	HAUS8
ENSDARG00000071271	SAC3D1
ENSDARG00000074457	PFKFB1 (1 of 2)
ENSDARG00000058203	smc1al
ENSDARG00000058212	ndnl2
ENSDARG00000071052	si:dkey-150i13.2
ENSDARG00000094377	samd10b
ENSDARG00000075611	SI:CH211-170P16.1
ENSDARG00000071055	ZNF512B
ENSDARG00000087847	5S_rRNA
ENSDARG00000078973	uckl1b
ENSDARG00000096450	si:dkey-256k13.3
ENSDARG00000082246	dre-mir-1388
ENSDARG00000091758	5S_rRNA
ENSDARG00000083796	5S_rRNA
ENSDARG00000078191	zbtb46
ENSDARG00000062662	LMOD3
ENSDARG00000071060	naa10
ENSDARG00000071065	g6pd
ENSDARG00000061445	adcy6a
ENSDARG00000083221	5S_rRNA
ENSDARG00000001881	cacnb3a
ENSDARG00000021945	ddx23
ENSDARG00000058082	birc7
ENSDARG00000062699	nkain4
ENSDARG00000095139	si:dkey-178o8.2
ENSDARG00000094009	si:dkey-178o8.3
ENSDARG00000093794	si:rp71-79p20.2
ENSDARG00000077762	slc2a4rg
ENSDARG00000037706	gss
ENSDARG00000037708	exosc10
ENSDARG00000020788	sla2
ENSDARG00000010052	ndrg3b
ENSDARG00000038737	phf20b
ENSDARG00000078145	si:ch211-218g4.2
ENSDARG00000013838	sulf2l
ENSDARG00000084419	5S_rRNA
ENSDARG00000092511	si:dkey-103a3.3
ENSDARG00000006838	eef1a2
ENSDARG00000028894	mrgbp
ENSDARG00000093398	si:dkey-103a3.4
ENSDARG00000039596	CABZ01031613.1
ENSDARG00000095240	si:ch211-13o20.2
ENSDARG00000091871	si:ch211-13o20.3
ENSDARG00000095778	si:rp71-1k13.5
ENSDARG00000077577	ntsr1
ENSDARG00000092433	si:dkeyp-115f6.1
ENSDARG00000095681	si:dkeyp-100a5.3
ENSDARG00000095037	si:dkeyp-100a5.2
ENSDARG00000075539	snphb
ENSDARG00000012513	sdcbp2
ENSDARG00000033567	fkbp1ab
ENSDARG00000009079	si:ch211-224l10.5
ENSDARG00000088762	si:ch211-224l10.4
ENSDARG00000095199	si:ch211-13o20.1
ENSDARG00000022623	fbxo44
ENSDARG00000071045	si:rp71-1k13.6
ENSDARG00000071044	zgc:153722
ENSDARG00000057899	zgc:114081
ENSDARG00000012035	zgc:100832
ENSDARG00000037645	si:rp71-1k13.8
ENSDARG00000090572	si:busm1-180g5.7
ENSDARG00000085191	5S_rRNA
ENSDARG00000057884	zgc:114174
ENSDARG00000092166	si:dkey-147f3.8
ENSDARG00000071029	si:dkey-147f3.4
ENSDARG00000092077	si:dkey-147f3.4
ENSDARG00000057869	cdc42l2
ENSDARG00000057863	dnmt5
ENSDARG00000057830	dnmt3
ENSDARG00000036791	dnmt4
ENSDARG00000074668	si:dkey-210i3.1
ENSDARG00000094123	si:dkey-210i3.1
ENSDARG00000036784	commd7
ENSDARG00000092496	si:dkey-108p14.3
ENSDARG00000095017	si:dkey-108p14.4
ENSDARG00000085025	5S_rRNA
ENSDARG00000037607	C23H20orf112 (1 of 2)
ENSDARG00000077783	BX649300.1
ENSDARG00000059956	ptk6b
ENSDARG00000031317	ppdpfb
ENSDARG00000013655	tpd52l2b
ENSDARG00000018264	trim101
ENSDARG00000004836	dnajc5ab
ENSDARG00000088698	5S_rRNA
ENSDARG00000037589	gid8b
ENSDARG00000011049	slc17a9b
ENSDARG00000037588	bhlhe23
ENSDARG00000095857	si:ch211-280c4.3
ENSDARG00000080174	mir124-5
ENSDARG00000030547	rnd1
ENSDARG00000040163	prim1
ENSDARG00000056932	tfip11
ENSDARG00000005513	naca
ENSDARG00000081030	SNORD59
ENSDARG00000082833	SNORD59
ENSDARG00000074093	CU234171.2
ENSDARG00000056910	NFASC (2 of 2)
ENSDARG00000008541	chia.4
ENSDARG00000093193	chia.6
ENSDARG00000062096	pm20d1.2
ENSDARG00000037551	pm20d1.1
ENSDARG00000040161	zgc:92287
ENSDARG00000080573	mir135c-2
ENSDARG00000008263	mfsd4b
ENSDARG00000012777	nucks1b
ENSDARG00000077626	fam19a4a
ENSDARG00000062357	fam19a1
ENSDARG00000084859	5S_rRNA
ENSDARG00000017781	hsd17b10
ENSDARG00000083280	mirlet7g-1
ENSDARG00000019205	fam120c
ENSDARG00000029219	avpr2ab
ENSDARG00000017659	sps2
ENSDARG00000019444	ssr4
ENSDARG00000017037	ikbkg
ENSDARG00000070923	zgc:158296
ENSDARG00000093891	si:dkey-95f11.5
ENSDARG00000093181	si:dkey-95f11.6
ENSDARG00000015003	arhgap4b
ENSDARG00000094138	zgc:174710
ENSDARG00000019503	zgc:103759
ENSDARG00000035322	myh7bb
ENSDARG00000081473	CR847953.1
ENSDARG00000020647	trpc4apb
ENSDARG00000054894	EMP3 (2 of 2)
ENSDARG00000087640	nsfl1c
ENSDARG00000057403	si:ch211-209j10.5
ENSDARG00000093317	si:ch211-209j10.6
ENSDARG00000090001	FP015790.3
ENSDARG00000089541	FP015790.2
ENSDARG00000094982	MYH7B (3 of 3)
ENSDARG00000087228	FP015790.1
ENSDARG00000006375	nsfl1c
ENSDARG00000093028	si:dkey-192i18.3
ENSDARG00000022509	cox4i2
ENSDARG00000008434	bcl2l1
ENSDARG00000074702	ARFGEF2
ENSDARG00000094757	si:dkey-192i18.5
ENSDARG00000090879	CR788311.1
ENSDARG00000003865	pard6b
ENSDARG00000095322	FKBPL
ENSDARG00000092723	si:ch73-381f5.2
ENSDARG00000046098	ebp
ENSDARG00000094530	si:dkey-109j17.4
ENSDARG00000094927	si:dkey-93l1.4
ENSDARG00000033533	CCDC115
ENSDARG00000031640	si:dkey-109j17.5
ENSDARG00000034604	APOBEC2 (2 of 2)
ENSDARG00000092818	si:ch73-381f5.4
ENSDARG00000057426	OARD1
ENSDARG00000013393	guca1b
ENSDARG00000090787	KLHDC8B
ENSDARG00000085754	5S_rRNA
ENSDARG00000079569	CR385022.1
ENSDARG00000013346	fam208ab
ENSDARG00000087741	asb14
ENSDARG00000059987	dnah12
ENSDARG00000090963	ATP6AP1L (1 of 2)
ENSDARG00000020764	slmapb
ENSDARG00000092598	si:ch211-222g5.6
ENSDARG00000095213	si:ch211-222g5.4
ENSDARG00000093554	flnb
ENSDARG00000092281	si:ch211-222g5.7
ENSDARG00000070894	abhd6b
ENSDARG00000023703	kctd6b
ENSDARG00000089921	SMIM4
ENSDARG00000031489	OGN (2 of 2)
ENSDARG00000092512	si:dkey-93l1.6
ENSDARG00000005464	dnase1l3
ENSDARG00000025581	rpl10
ENSDARG00000081115	SNORA70
ENSDARG00000081328	SNORA70
ENSDARG00000074201	flna
ENSDARG00000095774	emd
ENSDARG00000037432	haus7
ENSDARG00000092368	si:dkey-93l1.9
ENSDARG00000023445	atp2b3b
ENSDARG00000085132	5S_rRNA
ENSDARG00000094174	si:dkey-233h12.1
ENSDARG00000091923	si:dkey-233h12.4
ENSDARG00000093942	si:dkey-233h12.3
ENSDARG00000092646	si:dkey-233h12.2
ENSDARG00000037537	fam58a
ENSDARG00000070868	C23H1orf192
ENSDARG00000062329	BX323050.1
ENSDARG00000002945	bgnb
ENSDARG00000070857	si:dkey-32e6.6
ENSDARG00000037539	tnnc1b
ENSDARG00000006019	tkt
ENSDARG00000006174	lrrc23
ENSDARG00000092934	si:dkey-32e6.3
ENSDARG00000004132	usp19
ENSDARG00000002084	lamb2
ENSDARG00000033950	lamb2l
ENSDARG00000093223	si:rp71-17i16.7
ENSDARG00000095453	si:rp71-17i16.6
ENSDARG00000083497	CR749762.2
ENSDARG00000037527	si:rp71-17i16.5
ENSDARG00000037526	CR749762.1
ENSDARG00000095002	TNNC2 (2 of 2)
ENSDARG00000070835	tnnc2
ENSDARG00000070834	taf13
ENSDARG00000037517	slc35c2
ENSDARG00000085221	5S_rRNA
ENSDARG00000057011	dpm1
ENSDARG00000074293	adnpb
ENSDARG00000057000	camkvl
ENSDARG00000037559	uba1
ENSDARG00000037554	arhgef3l
ENSDARG00000094280	USP21
ENSDARG00000056961	CCDC30
ENSDARG00000062231	ZNF362 (1 of 2)
ENSDARG00000089868	TNFRSF25
ENSDARG00000091221	TTC34
ENSDARG00000067630	zgc:154075
ENSDARG00000086098	ERRFI1 (2 of 2)
ENSDARG00000070818	pax7b
ENSDARG00000062134	KCNAB2 (2 of 2)
ENSDARG00000079199	megf6a
ENSDARG00000094389	si:dkey-201k7.1
ENSDARG00000057255	emc1
ENSDARG00000009549	ubr4
ENSDARG00000082182	CT027552.1
ENSDARG00000062101	iffo2a
ENSDARG00000056739	tas1r1
ENSDARG00000032963	her12
ENSDARG00000056732	her4.1
ENSDARG00000094426	HER4.2
ENSDARG00000070770	her4.3
ENSDARG00000009822	her4.4
ENSDARG00000056729	her4.2
ENSDARG00000093156	si:ch73-21g5.7
ENSDARG00000087681	DRAXIN (2 of 2)
ENSDARG00000020241	icmt
ENSDARG00000012409	rnf207b
ENSDARG00000011510	rcc2
ENSDARG00000074244	arhgef10lb
ENSDARG00000086244	5S_rRNA
ENSDARG00000056084	igsf21b
ENSDARG00000044982	dhrs3a
ENSDARG00000094086	si:ch211-145d10.5
ENSDARG00000017986	vps13d
ENSDARG00000075147	lrrc38
ENSDARG00000037373	ephb2a
ENSDARG00000084815	5S_rRNA
ENSDARG00000092886	si:dkey-68l7.1
ENSDARG00000094644	si:dkey-68l7.2
ENSDARG00000089063	lactbl1a
ENSDARG00000074331	eif4g3b
ENSDARG00000056695	phc2a
ENSDARG00000001437	slc2a1a
ENSDARG00000056554	rap1gap
ENSDARG00000056515	spsb1
ENSDARG00000095377	mir34
ENSDARG00000093376	si:ch211-28e16.5
ENSDARG00000081220	mir34
ENSDARG00000034975	gpr157
ENSDARG00000077875	slc2a5
ENSDARG00000056499	ca6
ENSDARG00000022456	eno1a
ENSDARG00000077353	rerea
ENSDARG00000090423	5S_rRNA
ENSDARG00000094655	si:dkey-24d19.3
ENSDARG00000077852	samd11
ENSDARG00000084084	5S_rRNA
ENSDARG00000001754	noc2l
ENSDARG00000091606	AL845437.1
ENSDARG00000037324	klhl17
ENSDARG00000087844	plekhn1
ENSDARG00000094005	si:dkey-98j1.5
ENSDARG00000056438	her9
ENSDARG00000096339	agrn
ENSDARG00000091362	CU062415.1
ENSDARG00000079388	agrn
ENSDARG00000012340	ptpn11b
ENSDARG00000070697	RNF223
ENSDARG00000081868	mir200b
ENSDARG00000081399	mir200a
ENSDARG00000081438	mir429
ENSDARG00000090472	ttll10
ENSDARG00000088900	si:dkey-21o19.2
ENSDARG00000078853	arhgef19
ENSDARG00000095722	si:dkey-21o19.5
ENSDARG00000092130	si:dkey-21o19.3
ENSDARG00000077327	si:dkey-21o19.6
ENSDARG00000094508	si:dkey-21o19.8
ENSDARG00000078850	plekhm2
ENSDARG00000037318	ddost
ENSDARG00000074548	zbtb17
ENSDARG00000011538	hspb7
ENSDARG00000022560	clcnk
ENSDARG00000037320	fam131c
ENSDARG00000022727	EPHA2 (1 of 2)
ENSDARG00000074245	spen
ENSDARG00000003475	sult1st5
ENSDARG00000056338	szrd1
ENSDARG00000061890	atp13a2
ENSDARG00000092713	si:dkey-31b16.7
ENSDARG00000095900	SDHB
ENSDARG00000094535	si:dkey-31b16.11
ENSDARG00000087916	tmem240
ENSDARG00000056334	mlh3
ENSDARG00000056318	kansl2
ENSDARG00000081648	SNORA2
ENSDARG00000079148	nckap5l
ENSDARG00000036102	ctdsp2
ENSDARG00000080579	mir26b
ENSDARG00000070682	sdf4
ENSDARG00000070681	fam132a
ENSDARG00000061852	olfml3a
ENSDARG00000076730	syt6a
ENSDARG00000084935	5S_rRNA
ENSDARG00000094502	si:dkey-7i1.4
ENSDARG00000039255	klhl21
ENSDARG00000039263	zbtb48
ENSDARG00000077751	nol9
ENSDARG00000004325	casp9
ENSDARG00000039265	arhgap4a
ENSDARG00000007436	avpr2aa
ENSDARG00000077589	si:dkey-188c14.4
ENSDARG00000023648	idh3g
ENSDARG00000070675	fam3a
ENSDARG00000085049	SNORD27
ENSDARG00000021611	WNK3
ENSDARG00000036993	erbb3b
ENSDARG00000070657	pa2g4b
ENSDARG00000092807	si:dkey-151g10.6
ENSDARG00000034714	esyt1a
ENSDARG00000004372	fmnl3
ENSDARG00000029146	lrp1
ENSDARG00000087493	CT573346.1
ENSDARG00000070650	BX957329.1
ENSDARG00000082988	BX005414.1
ENSDARG00000056150	RBMS2 (1 of 2)
ENSDARG00000078574	SENP1
ENSDARG00000094688	si:dkey-21c19.4
ENSDARG00000034568	fitm2
ENSDARG00000030650	r3hdml
ENSDARG00000021494	hnf4a
ENSDARG00000070644	ttpal
ENSDARG00000086471	pkig
ENSDARG00000003113	ada
ENSDARG00000077882	wisp2
ENSDARG00000037155	wisp2
ENSDARG00000037140	pfkfb1
ENSDARG00000056037	itih6
ENSDARG00000056122	gdi1
ENSDARG00000037153	atp6ap1b
ENSDARG00000056075	rca2.1
ENSDARG00000094399	si:dkey-78k11.4
ENSDARG00000095512	rca2.2
ENSDARG00000075062	ptpn22
ENSDARG00000076916	magi3
ENSDARG00000086159	si:ch73-206d17.1
ENSDARG00000079307	si:dkey-205h13.1
ENSDARG00000089429	si:dkey-205h13.2
ENSDARG00000076564	hspg2
ENSDARG00000085149	5S_rRNA
ENSDARG00000094847	si:ch211-134d5.3
ENSDARG00000037267	zgc:158263
ENSDARG00000014386	GALNT6
ENSDARG00000027797	adcy6b
ENSDARG00000055281	CT573349.1
ENSDARG00000085872	5S_rRNA
ENSDARG00000076030	cacnb3b
ENSDARG00000004218	rnd1l
ENSDARG00000025766	DTX3
ENSDARG00000037284	ptges3a
ENSDARG00000037285	mipa
ENSDARG00000015902	stat6
ENSDARG00000057062	si:dkey-157g16.6
ENSDARG00000092957	si:dkey-157g16.7
ENSDARG00000005775	scn8aa
ENSDARG00000093100	tmprss12
ENSDARG00000094330	si:dkey-9p24.5
ENSDARG00000005350	dip2ba
ENSDARG00000011298	atf7a
ENSDARG00000003383	asb8
ENSDARG00000078401	larp4aa
ENSDARG00000014179	pfkma
ENSDARG00000094977	si:ch211-156j22.4
ENSDARG00000084441	5S_rRNA
ENSDARG00000006584	phf8
ENSDARG00000070539	arf3a
ENSDARG00000040925	wnt10b
ENSDARG00000055554	wnt1
ENSDARG00000037071	rps26
ENSDARG00000037068	IKZF4
ENSDARG00000037067	dnajc22
ENSDARG00000004745	lmbr1l
ENSDARG00000037062	dhh
ENSDARG00000037060	mll2
ENSDARG00000018968	acvr1b
ENSDARG00000018179	acvrl1
ENSDARG00000055638	ankrd33aa
ENSDARG00000030766	ARHGEF25 (1 of 2)
ENSDARG00000010124	sp5l
ENSDARG00000078800	slc26a10
ENSDARG00000055585	c1galt1a
ENSDARG00000061520	b4galnt1a
ENSDARG00000093089	tac3a
ENSDARG00000094837	si:dkey-228g21.5
ENSDARG00000009899	znf385a
ENSDARG00000085956	5S_rRNA
ENSDARG00000055655	birc5b
ENSDARG00000003469	neurod4
ENSDARG00000084336	5S_rRNA
ENSDARG00000033738	zgc:153867
ENSDARG00000093306	si:dkey-149i8.3
ENSDARG00000011549	C1QL4 (1 of 2)
ENSDARG00000088398	tmem107l
ENSDARG00000016782	huwe1
ENSDARG00000083425	mirlet7g-2
ENSDARG00000081815	mirlet7h
ENSDARG00000007149	nadl1.2
ENSDARG00000085710	5S_rRNA
ENSDARG00000055739	ribc1
ENSDARG00000055754	smc1a
ENSDARG00000055760	srm
ENSDARG00000031649	sst3
ENSDARG00000007988	masp2
ENSDARG00000080245	5S_rRNA
ENSDARG00000084746	5S_rRNA
ENSDARG00000055770	dffa
ENSDARG00000028322	pex14
ENSDARG00000085038	5S_rRNA
ENSDARG00000085725	5S_rRNA
ENSDARG00000093890	si:dkey-203c4.2
ENSDARG00000037030	casz1
